Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
A,Agilent Technologies Inc. Common Stock,$145.78,-0.41,-0.28%,43156794295.00,United States,1999,117573,Industrials,Electrical Products
ABB,ABB Ltd Common Stock,$30.65,-0.07,-0.228%,57468750000.00,Switzerland,,141509,Energy,Electrical Products
ABBV,AbbVie Inc. Common Stock,$156.30,1.32,0.852%,276413503400.00,United States,2012,520149,Health Care,Other Pharmaceuticals
ABC,AmerisourceBergen Corporation Common Stock,$162.70,0.70,0.432%,32937218383.00,United States,,92918,Health Care,Other Pharmaceuticals
ABT,Abbott Laboratories Common Stock,$103.902,0.032,0.031%,181160802578.00,United States,,297774,Health Care,Medical/Dental Instruments
ACN,Accenture plc Class A Ordinary Shares (Ireland),$286.64,0.14,0.049%,180606119734.00,Ireland,2001,105917,Technology,EDP Services
AFG,American Financial Group Inc. Common Stock,$143.895,1.755,1.235%,12251724364.00,United States,,36434,Finance,Property-Casualty Insurers
AFL,AFLAC Incorporated Common Stock,$71.38,0.44,0.62%,44383267413.00,United States,,187369,Finance,Accident &Health Insurance
AIG,American International Group Inc. New Common Stock,$60.03,0.21,0.351%,51717389812.00,United States,,299915,Finance,Life Insurance
AJG,Arthur J. Gallagher & Co. Common Stock,$195.21,0.88,0.453%,41158154289.00,United States,,116017,Finance,Specialty Insurers
ALB,Albemarle Corporation Common Stock,$275.41,-1.57,-0.567%,32265050996.00,United States,,172209,Industrials,Industrial Specialties
ALC,Alcon Inc. Ordinary Shares,$65.77,0.07,0.107%,32233020740.00,Switzerland,2019,82442,Health Care,Ophthalmic Goods
ALL,Allstate Corporation (The) Common Stock,$132.50,-0.24,-0.181%,35140268555.00,United States,,421327,Finance,Property-Casualty Insurers
AMCR,Amcor plc Ordinary Shares,$11.855,0.035,0.296%,17652326836.00,,2019,448779,Industrials,Containers/Packaging
AMP,Ameriprise Financial Inc. Common Stock,$327.375,-1.325,-0.403%,34838330523.00,United States,,38347,Finance,Investment Managers
AMX,America Movil S.A.B. de C.V. American Depository Receipt Series L,$20.13,0.17,0.852%,63923242783.00,Mexico,,76052,Telecommunications,Telecommunications Equipment
ANET,Arista Networks Inc. Common Stock,$135.65,0.17,0.125%,41450925360.00,,2014,259707,Technology,Computer peripheral equipment
AON,Aon plc Class A Ordinary Shares (Ireland),$303.81,2.49,0.826%,62843990486.00,United States,,55958,Finance,Specialty Insurers
APD,Air Products and Chemicals Inc. Common Stock,$297.06,0.58,0.196%,65887605593.00,United States,,66809,Industrials,Specialty Chemicals
APH,Amphenol Corporation Common Stock,$79.46,-0.25,-0.314%,47286212148.00,United States,,175031,Technology,Electrical Products
APO,Apollo Global Management Inc. (New) Common Stock,$62.035,0.095,0.153%,35501614677.00,,,110858,Finance,Investment Managers
AR,Antero Resources Corporation Common Stock,$33.6491,-0.5209,-1.524%,10099321285.00,,2013,962176,Energy,Oil & Gas Production
ARES,Ares Management Corporation Class A Common Stock,$77.935,1.025,1.333%,13787479681.00,,2014,125824,Finance,Investment Managers
ARMK,Aramark Common Stock,$40.33,-0.31,-0.763%,10393714188.00,,2013,134660,Technology,Interactive Media
